Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,Metrics,FGP-rOEE,Static OEE,WBCP,NAVI
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,F_eff,0.4977024251296976,0.6412312437259008,0.7137466038356258,0.8357706855995936
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,num_comms,28206.0,14568.0,10829.0,5343.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,epairs,52920.0,14568.0,11856.0,10686.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity_log_sum,-839.3967633083344,-534.5712543676493,-405.68441329507834,-215.81940666487628
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity_loss,828.1476230197351,528.6794045699671,401.4420200298307,213.70391711146328
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,geo_mean_fidelity,0.9933224428189901,0.9966525996213955,0.9971933488108552,0.9979605998966465
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity,0.0,6.896901825137653e-233,6.508754812398079e-177,1.86561746095943e-94
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,execution_time,7824.390180826187,69.07298231124878,128.29905605316162,3059.9501779079437
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,remote_hops,3492.0,14568.0,9802.0,0.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,remote_swaps,24714.0,0.0,1027.0,5343.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,local_fidelity,1.591336207797756e-25,7.569376060419274e-58,3.573534738159576e-49,1.7092624163380627e-31
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['x', 'id', 'rz', 'rzz', 'rx', 'sx', 'cz', 'reset']","{'rzz', 'cz'}",all_to_all,remote_fidelity,0.0,9.111585644690016e-176,1.8213772327144595e-128,1.0914751550884408e-63
