Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",F_eff,0.743528785217224,0.6778975658419205,0.8082820552341022,0.7728009184137096,0.8219553333579328
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",num_comms,969.0,178.0,310.0,302.0,279.0
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",epairs,969.0,356.0,503.0,604.0,433.0
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_loss,114.21649663462483,154.64104273476715,83.04684756790056,100.58833571643382,76.66103887927017
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",rgeo_mean_fid,0.9000000000000011,0.81,0.842858714511597,0.81,0.8491524885400158
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",execution_time,8.265726089477539,34.33181357383728,5.959630966186523,31.65330958366394,35.029491901397705
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_log_sum,-119.42816259584089,-156.66991136982577,-85.77621385520578,-103.86672448738209,-79.01589742634496
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity,1.358338470320007e-52,9.101689419288132e-69,5.595818814329124e-38,7.784929818992431e-46,4.82871713297617e-35
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_hops,969.0,0.0,117.0,0.0,125.0
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_swaps,0.0,178.0,193.0,302.0,154.0
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity_loss,17.316496634626063,119.04104273476715,32.74684756790056,40.18833571643384,33.36103887927016
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity_loss,96.89999999999877,35.599999999999994,50.29999999999999,60.39999999999998,43.3
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity_log_sum,-17.333822923408455,-119.16156779563963,-32.77987447931918,-40.22897303005504,-33.394794146506186
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity_log_sum,-102.09433967243244,-37.50834357418615,-52.9963393758866,-63.63775145732705,-45.62110327983878
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity,2.9649430372465074e-08,1.7733262849946752e-52,5.806058350530289e-15,3.3789284879573347e-18,3.1392447590822124e-15
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity,4.5813307482003867e-45,5.132552027398309e-17,9.637896274015291e-24,2.3039640663418298e-28,1.5381779706746698e-20
QV,40,11040,2340,403,2,"[20, 20]","['sx', 'rx', 'x', 'rz', 'reset', 'cz', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_gate_num,20232.0,120670.0,36209.0,43222.0,36651.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",F_eff,0.7949861212461388,0.7521827544494765,0.8151562638389155,0.7313673877346687,0.8290994449331022
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",num_comms,309.0,52.0,94.0,120.0,62.0
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",epairs,309.0,104.0,142.0,240.0,101.0
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_loss,34.819158601775094,44.68714960824622,31.7164714114126,48.429944160463094,29.237783153206145
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",rgeo_mean_fid,0.9000000000000005,0.8100000000000002,0.8528585002780282,0.81,0.8422859799724599
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",execution_time,0.5765132904052734,8.12940764427185,2.417026996612549,8.952317953109741,11.976577997207642
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_log_sum,-36.47946890312245,-45.27937764383148,-32.4956964463894,-49.741458730391905,-29.799012561287398
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity,1.4360446806233027e-16,2.1647918552042444e-20,7.714332393664679e-15,2.4978074210502066e-22,1.1440717936038152e-13
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_hops,309.0,0.0,46.0,0.0,23.0
QFT,40,1845,689,159,2,"[20, 20]","['reset', 'cz', 'sx', 'rx', 'id', 'x', 'rzz', 'rz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_swaps,0.0,52.0,48.0,120.0,39.0
